id,text,label,clean_text
3268.0,Indha ariya kandupidippin moolam neenga solla varum karuthu?,0,
6239.0, @vijayakumarp7959  unmai therincha nee pesu,0,
5859.0,Inga erukka yella dev... boys  vadakkan vadakkan solli prachanaiya avanungala kelappi vidudanunga eppa kelampidanunga eni Anga erukka velaiya enga erukka dev... Payalunga poi papanunga muthal pottu tholil panravanukkutha vali theriyum antha pakuthi yella velaikku alkitaikkama alayaporanunga,1,
3519.0,பீகாரி பிரசாந்த் கிஷோரிடம் கொடுத்த 350 கோடியை எப்படி வாங்கறது .அதான் இப்படி,1,பீகாரி பிரசாந்த் கிஷோரிடம் கொடுத்த கோடியை எப்படி வாங்கறது அதான் இப்படி
5136.0,Mumbai Bangalore la 80% percentage outsiders,1,
3166.0,"யோவ் முதல்ல புரிஞ்சிக்க சிங்கப்பூர், மலேசிய Developed Country... And INDIA la Individual State Development panamaa other state la All Hindi people ah Job ku anuppi viitaa angaa irukkura own state people's ku job poidun basic fundamental rights poooidum and Political ah Tamilnadu wick aagidum... So konjam Realise Pannu Yoosi.. and ivlo years ilaama Why MODI period la ipdi nadakuthu yosi.. DIGITAL India nu summa solrnga so ithu thaaan DIGITAL INDIA VA ????? ALL STATE DEVELOP Aaganum athutha DEVELOP AND DIGITAL INDIA .",1,யோவ் முதல்ல புரிஞ்சிக்க சிங்கப்பூர் மலேசிய
5581.0,Elam fake news old news fraud news pota apdthan.pavam entha oorkarana iruntha ena olaikiran sambathikiran.,0,
1404.0,வடக்கன் வாய் மூடி இருக்குடா! தமிழா விழித்துக்கொள்! யாரும் அவர்களுக்கு வீடு வாடகைக்கு கொடுக்காதிர்கள்,1,வடக்கன் வாய் மூடி இருக்குடா தமிழா விழித்துக்கொள் யாரும் அவர்களுக்கு வீடு வாடகைக்கு கொடுக்காதிர்கள்
1008.0,paarkkaa rombaa vey kastamaa irukku ...tamilannaa tamil nattulaa irunthu vadakkans adichu thorathuraaa kaalaam vanthudumonnu payamaa irukku daa paarthaa,0,
6659.0,Iyya cinna vendu kol devar enathula biruvinai pesathigka kallar maravar agamudyar ellorum onnuthan  nammo eppadi pesrathunalathalathan ala aluku ennamalam pesragka mukklathor only,0,
3675.0,Ungaluku vantha ratham engaluku vantha thakali chatni ya,0,
1503.0,"பாணி பூரி காரனோட வாங்கி குடிச்சாவது திருந்துங்கடா சாதி வேறி பிடித்த மட தமிழர்களா,,, சீமான் அண்ணாவுக்கு ஓட்ட போடுங்கடா  பரதெசி நாய்களா..",1,பாணி பூரி காரனோட வாங்கி குடிச்சாவது திருந்துங்கடா சாதி வேறி பிடித்த மட தமிழர்களா சீமான் அண்ணாவுக்கு ஓட்ட போடுங்கடா பரதெசி நாய்களா
4474.0,Harey mera vadakan wale  Definitely Tamilnadu soonly vadakans control this is future,0,
3746.0,நீன்க சொல்லறது எல்லாம் பொய் நானும் திருப்புர்தா,0,நீன்க சொல்லறது எல்லாம் பொய் நானும் திருப்புர்தா
3620.0,தமிழருக்கு இந்தமாதிரி பாதுகாப்பு கொடுக்காத நாய்களுக்கு.. வடமணிலத்தவருக்கு பாதுகாப்பு கொடுக்கிறீங்க.. மானங்கெட்ட..,1,தமிழருக்கு இந்தமாதிரி பாதுகாப்பு கொடுக்காத நாய்களுக்கு வடமணிலத்தவருக்கு பாதுகாப்பு கொடுக்கிறீங்க மானங்கெட்ட
686.0,7:41 நீயும் செய் டா 40வேலையும் அவன் வந்து செய்யும் போது நீயும் செய் நீ செய்ய மாட்டா வடகன்ஸ் வந்த உனக்கு என் டா,0,நீயும் செய் டா வேலையும் அவன் வந்து செய்யும் போது நீயும் செய் நீ செய்ய மாட்டா வடகன்ஸ் வந்த உனக்கு என் டா
5268.0,Indha ariya kandupidippin moolam neenga solla varum karuthu?,0,
3054.0, @tamilstatus4613  oh kudigaraka sangam owner ah nee picha kara payaale,1,
2866.0,"தாரவி, அசாம், நம்ம ஆளுக 10லச்சம் பேர் வெளிய இருகாங்க own business well settle north indians kku work kudukranga",0,தாரவி அசாம் நம்ம ஆளுக லச்சம் பேர் வெளிய இருகாங்க
4100.0,It’s true!! Atleast now Tamilians woke up super... I have bad experience with North people... 10 years before When my father searching rented home in Chennai-01 sowkarpet  they openly said no home for Tamilians...  we should never encourage north people...,0,
4767.0,திருந்தவே மாட்டிங்களாடா எதுக்கு இந்த பதிவு இப்போ?,0,திருந்தவே மாட்டிங்களாடா எதுக்கு பதிவு இப்போ
